Account,date_clean,daily_pnl,trade_count,avg_trade_size,total_longs,win_rate,total_shorts,ls_ratio,classification,value,regime,frequency_segment,size_segment,next_day_risk
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.718248587571,0,0.0,177,0.0,Extreme Greed,76,Greed,Frequent,Small Size,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.664411764705,0,0.0,68,0.0,Extreme Greed,90,Greed,Frequent,Large Size,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,23734.5,0,0.0,40,0.0,Extreme Greed,83,Greed,Frequent,Large Size,15009.755644246845
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666666666668,0,0.0,12,0.0,Extreme Greed,94,Greed,Infrequent,Large Size,16143.318525166998
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.14814814815,0,1.0,27,0.0,Extreme Greed,79,Greed,Frequent,Large Size,94663.28393524597
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536341463414,0,0.0,82,0.0,Extreme Greed,77,Greed,Frequent,Large Size,93529.72105432581
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,48561.68565217392,0,0.0,23,0.0,Extreme Greed,84,Greed,Frequent,Large Size,124175.72899054879
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,36736.36242424243,0,0.0,33,0.0,Greed,72,Greed,Frequent,Large Size,174658.8851400335
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,11410.954021505377,0,0.20535714285714285,465,0.0,Extreme Greed,77,Greed,Frequent,Large Size,22044.31136106956
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,9400.588039215687,0,1.0,51,0.0,Extreme Greed,76,Greed,Frequent,Large Size,25803.31639640492
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,185847.0,0,1.0,10,0.0,Greed,60,Greed,Infrequent,Large Size,17183.886727278208
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,23593.019856972587,571,0.6900269541778976,268,2.1305970149253732,Fear,44,Fear,Frequent,Large Size,194177.5923278505
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,10576.687156308852,0,0.7477477477477478,531,0.0,Greed,72,Greed,Frequent,Large Size,234207.45865794373
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,26585.06338095238,0,1.0,210,0.0,Neutral,54,Neutral,Frequent,Large Size,9548.640643313658
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,10161.056241134751,0,1.0,141,0.0,Neutral,46,Neutral,Frequent,Large Size,17104.143209750353
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,32032.5,0,1.0,48,0.0,Fear,43,Fear,Frequent,Large Size,38951.68414844235
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,134600.00166666668,0,0.0,6,0.0,Neutral,47,Neutral,Infrequent,Large Size,7178.634479339781
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,27178.041694915253,0,1.0,59,0.0,Neutral,49,Neutral,Frequent,Large Size,74453.58756234433
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,13233.776894977169,0,1.0,219,0.0,Fear,25,Fear,Frequent,Large Size,112.00255910611187
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,24958.908545454546,0,1.0,55,0.0,Extreme Fear,16,Fear,Frequent,Large Size,74815.27640101004
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,2985.797555555556,0,1.0,45,0.0,Extreme Fear,20,Fear,Frequent,Small Size,370872.1620388685
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,8371.136099843994,0,1.0,641,0.0,Fear,33,Fear,Frequent,Large Size,349151.4125168129
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,79640.0,0,1.0,5,0.0,Neutral,45,Neutral,Infrequent,Large Size,189261.23361514445
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,21491.640322580646,0,1.0,31,0.0,Fear,43,Fear,Frequent,Large Size,
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-06,0.0,45,10673.925777777777,0,0.0,45,0.0,Greed,72,Greed,Frequent,Large Size,1246.2474175700427
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-12,1762.46,10,6750.81,0,1.0,10,0.0,Extreme Greed,83,Greed,Infrequent,Large Size,1226.7048528999487
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-17,27.63736,20,3976.0629999999996,13,1.0,7,1.8571428571428572,Extreme Greed,87,Greed,Infrequent,Small Size,19.542564670087884
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-18,0.0,44,3081.5213636363637,0,0.0,44,0.0,Extreme Greed,81,Greed,Frequent,Small Size,1576.5095805323724
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-19,2229.5212300000003,4,4987.015,0,1.0,4,0.0,Extreme Greed,75,Greed,Infrequent,Small Size,6967.426301205623
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-23,12082.95,2,13593.75,0,1.0,2,0.0,Greed,70,Greed,Infrequent,Large Size,8543.935881737994
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-24,0.0,7,4312.501428571429,0,0.0,7,0.0,Greed,73,Greed,Infrequent,Small Size,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-01-08,0.0,12,2966.789166666667,0,0.0,12,0.0,Greed,70,Greed,Infrequent,Small Size,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-01-15,0.0,2,48455.0,0,0.0,2,0.0,Greed,70,Greed,Infrequent,Large Size,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-01-16,0.0,30,1508.392,0,0.0,30,0.0,Extreme Greed,75,Greed,Frequent,Small Size,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-08,0.0,5,10322.714,0,0.0,5,0.0,Fear,44,Fear,Infrequent,Large Size,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-14,0.0,12,2078.9283333333333,0,0.0,12,0.0,Neutral,48,Neutral,Infrequent,Small Size,8410.371788572998
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-03-08,11894.061848,11,5318.463636363636,0,1.0,11,0.0,Fear,28,Fear,Infrequent,Small Size,1720.3763453642625
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-03-11,9461.082288,61,2446.7424590163937,0,1.0,61,0.0,Extreme Fear,24,Fear,Frequent,Small Size,4635.914685331213
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-03-14,16017.255710000001,8,1201.78,0,1.0,8,0.0,Fear,27,Fear,Infrequent,Small Size,41207.64313503708
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-03-15,74293.663505,25,3134.3723999999997,0,1.0,25,0.0,Neutral,46,Neutral,Frequent,Small Size,7974.528953799375
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-03-18,63015.976505,5,22996.97,2,1.0,3,0.6666666666666666,Fear,34,Fear,Infrequent,Large Size,44559.024309777655
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-03-19,0.0,58,5839.154827586207,21,0.0,37,0.5675675675675675,Fear,32,Fear,Frequent,Large Size,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-03-25,0.0,11,9047.907272727272,0,0.0,11,0.0,Neutral,46,Neutral,Infrequent,Large Size,6166.667127251922
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-04-10,8720.984286,11,4002.4445454545453,0,1.0,11,0.0,Fear,39,Fear,Infrequent,Small Size,
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-04-20,0.0,20,2436.6825,20,0.0,0,20.0,Greed,66,Greed,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-04-25,0.0,68,753.8510294117647,68,0.0,0,68.0,Greed,72,Greed,Frequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-06-19,0.0,3,7722.796666666666,3,0.0,0,3.0,Greed,64,Greed,Infrequent,Large Size,40643.40602811737
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-06-20,57478.456026,8,21188.46875,0,1.0,8,0.0,Greed,60,Greed,Infrequent,Large Size,21642.089381918573
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-23,88084.992348,229,1072.2595633187773,229,1.0,0,229.0,Greed,71,Greed,Frequent,Small Size,62285.495410035954
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-24,0.0,2,0.335,0,0.0,2,0.0,Greed,69,Greed,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-25,0.0,1,0.94,0,0.0,1,0.0,Greed,68,Greed,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-09,0.0,1,0.12,0,0.0,1,0.0,Neutral,48,Neutral,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-10,0.0,1,0.68,0,0.0,1,0.0,Fear,40,Fear,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-12,0.0,1,0.61,0,0.0,1,0.0,Fear,25,Fear,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-13,0.0,1,0.67,0,0.0,1,0.0,Fear,31,Fear,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-14,0.0,1,0.53,0,0.0,1,0.0,Fear,30,Fear,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-30,0.0,1,0.62,0,0.0,1,0.0,Fear,34,Fear,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-31,0.0,1,0.96,0,0.0,1,0.0,Fear,29,Fear,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-11,0.0,1,0.54,0,0.0,1,0.0,Fear,37,Fear,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-14,0.0,1,0.65,0,0.0,1,0.0,Neutral,50,Neutral,Infrequent,Small Size,25572.919318715223
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-21,36165.56933,23,7202.092173913044,23,1.0,0,23.0,Neutral,54,Neutral,Frequent,Large Size,25572.919318715223
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-05,0.0,1,0.61,0,0.0,1,0.0,Neutral,49,Neutral,Infrequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-11,0.0,1,0.73,0,0.0,1,0.0,Fear,32,Fear,Infrequent,Small Size,87882.7300782252
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-11-29,124284.948775,15,8285.689333333334,0,1.0,15,0.0,Extreme Greed,78,Greed,Infrequent,Large Size,83912.28866018521
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-07,5615.052102,93,4485.160645161291,93,1.0,0,93.0,Fear,44,Fear,Frequent,Small Size,12148.630698442847
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-12,22795.8104,108,4261.555092592593,108,1.0,0,108.0,Neutral,46,Neutral,Frequent,Small Size,41946.44609436293
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-21,82117.04336,255,1500.5277647058824,255,1.0,0,255.0,Greed,55,Greed,Frequent,Small Size,58065.51821084575
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-09,0.0,79,5570.2651898734175,79,0.0,0,79.0,Extreme Fear,18,Fear,Frequent,Large Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-16,0.0,78,1231.3267948717948,0,0.0,78,0.0,Fear,29,Fear,Frequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-18,0.0,58,1514.5613793103448,0,0.0,58,0.0,Fear,33,Fear,Frequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-26,0.0,132,838.0906060606061,0,0.0,132,0.0,Greed,65,Greed,Frequent,Small Size,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-29,0.0,54,2655.1648148148147,0,0.0,54,0.0,Greed,60,Greed,Frequent,Small Size,
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-13,0.0,7,857.2571428571428,7,0.0,0,7.0,Extreme Greed,81,Greed,Infrequent,Small Size,46.30167305857378
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-14,65.480454,1,6066.28,1,1.0,0,1.0,Extreme Greed,88,Greed,Infrequent,Large Size,193.00328695899708
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-15,338.42832,8,3292.47625,8,1.0,0,8.0,Extreme Greed,83,Greed,Infrequent,Small Size,77.67460511103484
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-16,228.57984,6,4537.276666666667,6,1.0,0,6.0,Extreme Greed,81,Greed,Infrequent,Small Size,142.20146118705182
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-17,429.683075,14,6218.810714285714,14,1.0,0,14.0,Extreme Greed,79,Greed,Infrequent,Large Size,303.83181609358786
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-18,0.0,12,2833.491666666667,12,0.0,0,12.0,Extreme Greed,77,Greed,Infrequent,Small Size,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-19,0.0,4,2266.8775,4,0.0,0,4.0,Extreme Greed,79,Greed,Infrequent,Small Size,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-21,0.0,1,9744.18,1,0.0,0,1.0,Extreme Greed,78,Greed,Infrequent,Large Size,921.3010415581541
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-25,1302.916428,7,8159.4742857142855,6,1.0,1,6.0,Extreme Greed,75,Greed,Infrequent,Large Size,906.7352125008837
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-26,20.599193,7,3426.62,5,1.0,2,2.5,Extreme Greed,81,Greed,Infrequent,Small Size,119.21311708897484
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-27,189.192,27,3224.6703703703706,18,1.0,9,2.0,Extreme Greed,83,Greed,Frequent,Small Size,133.7789461462453
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-28,0.0,3,6671.296666666666,3,0.0,0,3.0,Extreme Greed,80,Greed,Infrequent,Large Size,624.4441628166362
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-29,883.097404,15,5794.291333333333,15,1.0,0,15.0,Extreme Greed,79,Greed,Infrequent,Large Size,20.993110085991077
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-31,912.786145,13,3070.2276923076925,10,1.0,3,3.3333333333333335,Extreme Greed,75,Greed,Infrequent,Small Size,644.8426392331631
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-01,0.840939,29,4654.808275862069,23,1.0,6,3.8333333333333335,Extreme Greed,79,Greed,Frequent,Small Size,624.3186294426654
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-02,883.760812,37,6072.016756756757,12,1.0,25,0.48,Extreme Greed,79,Greed,Frequent,Large Size,624.9132631121297
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-04,0.0,32,2999.6165625,0,0.0,32,0.0,Greed,70,Greed,Frequent,Small Size,3142.7348876091896
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-05,4444.4983010000005,10,17253.157,3,1.0,7,0.42857142857142855,Extreme Greed,79,Greed,Infrequent,Large Size,2975.620711725158
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-06,236.33513399999998,16,4263.979375,4,1.0,12,0.3333333333333333,Extreme Greed,75,Greed,Infrequent,Small Size,167.1141758840376
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-07,0.0,23,2173.397391304348,0,0.0,23,0.0,Extreme Greed,78,Greed,Frequent,Small Size,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-08,0.0,28,5827.370357142857,0,0.0,28,0.0,Extreme Greed,76,Greed,Frequent,Large Size,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-09,0.0,3,19021.280000000002,0,0.0,3,0.0,Extreme Greed,80,Greed,Infrequent,Large Size,3682.218550684626
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-10,5207.443414,41,8578.926097560974,6,1.0,35,0.17142857142857143,Extreme Greed,78,Greed,Frequent,Large Size,3406.628516499125
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-11,389.743164,16,4775.06,16,1.0,0,16.0,Extreme Greed,76,Greed,Infrequent,Small Size,275.590034185498
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-12,0.0,21,7138.52761904762,21,0.0,0,21.0,Extreme Greed,79,Greed,Frequent,Large Size,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-13,0.0,18,8677.150000000001,18,0.0,0,18.0,Greed,72,Greed,Infrequent,Large Size,25856.05626539256
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-14,-36565.98544,64,9199.4678125,64,0.07317073170731707,0,64.0,Greed,72,Greed,Frequent,Large Size,25856.05626539256
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-15,0.0,3,16671.31666666667,3,0.0,0,3.0,Greed,74,Greed,Infrequent,Large Size,1376.3447853899825
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-19,1946.4454620000001,35,9635.940571428573,32,1.0,3,10.666666666666666,Greed,66,Greed,Frequent,Large Size,1376.3447853899825
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-20,0.0,2,5999.795,0,0.0,2,0.0,Greed,66,Greed,Infrequent,Large Size,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-22,0.0,9,5332.623333333333,0,0.0,9,0.0,Greed,73,Greed,Infrequent,Large Size,536.8459447708968
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-23,759.2148159999999,54,3567.7494444444446,34,1.0,20,1.7,Greed,71,Greed,Frequent,Small Size,339.4316967194801
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-24,279.185907,20,7063.762,20,0.8571428571428571,0,20.0,Greed,72,Greed,Infrequent,Large Size,197.41424805141693
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-25,0.0,6,11496.523333333333,6,0.0,0,6.0,Greed,72,Greed,Infrequent,Large Size,3027.4692966566713
